VERSION_INDEX;FILE_NAME;LOC;LOC_ADDED;MAX_LOC_ADDED;AVG_LOC_ADDED;NR;NFIX;AUTHORS;CHURN;MAX_CHURN;BUGGYNESS
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;48;44;44;0.9361702127659575;1;0;3;44;44;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;63;58;58;1.2340425531914894;1;0;3;58;58;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;237;222;222;4.723404255319149;1;0;3;222;222;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;133;113;113;2.404255319148936;1;0;3;113;113;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;137;115;115;2.4468085106382977;1;0;3;115;115;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;177;153;153;3.25531914893617;1;0;3;153;153;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;46;41;41;0.8723404255319149;1;0;3;41;41;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;128;101;101;2.148936170212766;1;0;3;101;101;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;149;129;129;2.74468085106383;1;0;3;129;129;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;58;53;53;1.127659574468085;1;0;3;53;53;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;149;140;140;2.978723404255319;1;0;3;140;140;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;74;64;64;1.3617021276595744;1;0;3;64;64;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;37;32;32;0.6808510638297872;1;0;3;32;32;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;38;33;33;0.7021276595744681;1;0;3;33;33;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;39;34;34;0.723404255319149;1;0;3;34;34;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;96;82;82;1.7446808510638299;1;0;3;82;82;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;88;77;77;1.6382978723404256;1;0;3;77;77;No
