Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,IBK,UNDERSAMPLING,NO,SENSITIVE LEARNING,40,2,168,409,0.9523809523809523,0.08908685968819599,0.5386610769029215,0.04434043416362086
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,OVERSAMPLING,NO,NO,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,OVERSAMPLING,NO,NO,20,83,353,9,0.1941747572815534,0.6896551724137931,0.8947722239797532,0.22788145688192601
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,OVERSAMPLING,NO,NO,37,58,473,23,0.3894736842105263,0.6166666666666667,0.8653797865662273,0.40314194875631204
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,OVERSAMPLING,NO,NO,109,23,147,340,0.8257575757575758,0.24276169265033407,0.4548866762740731,0.06804560706420083
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,OVERSAMPLING,NO,NO,1,1,197,104,0.5,0.009523809523809525,0.26654641654641653,0.005812318365051087
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,OVERSAMPLING,NO,NO,3,7,429,26,0.3,0.10344827586206896,0.47939734261309713,0.12589005981201976
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,OVERSAMPLING,NO,NO,9,0,531,51,1.0,0.15,0.7879158819836786,0.24076173203355195
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,OVERSAMPLING,NO,NO,134,18,152,315,0.881578947368421,0.2984409799554566,0.49762871741124065,0.12481158952628828
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,OVERSAMPLING,NO,NO,0,0,198,105,NaN,0.0,0.43845598845598843,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,OVERSAMPLING,NO,NO,18,107,329,11,0.144,0.6206896551724138,0.6980385953812085,0.14745183343691737
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,IBK,OVERSAMPLING,NO,NO,28,68,463,32,0.2916666666666667,0.4666666666666667,0.6644381669805398,0.267440130893946
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,IBK,OVERSAMPLING,NO,NO,145,91,79,304,0.614406779661017,0.32293986636971045,0.3764836892440718,-0.15285236718893658
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE THRESHOLD,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE THRESHOLD,10,2,434,19,0.8333333333333334,0.3448275862068966,0.6701202151217969,0.46839784419402225
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE THRESHOLD,18,5,526,42,0.782608695652174,0.3,0.6452919020715631,0.39997407815436425
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE THRESHOLD,38,0,170,411,1.0,0.08463251670378619,0.5423162583518931,0.04832996046070571
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE THRESHOLD,1,1,197,104,0.5,0.009523809523809525,0.5022366522366523,0.005812318365051087
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE THRESHOLD,1,2,434,28,0.3333333333333333,0.034482758620689655,0.5149478013286934,0.0514075887392889
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE THRESHOLD,5,0,531,55,1.0,0.08333333333333333,0.5416666666666666,0.14042046806822694
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE THRESHOLD,91,4,166,358,0.9578947368421052,0.2026726057906459,0.58957159701297,0.10877156698193503
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,OVERSAMPLING,NO,SENSITIVE THRESHOLD,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,OVERSAMPLING,NO,SENSITIVE THRESHOLD,18,87,349,11,0.17142857142857143,0.6206896551724138,0.710574185384372,0.1894343649946639
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,IBK,OVERSAMPLING,NO,SENSITIVE THRESHOLD,28,68,463,32,0.2916666666666667,0.4666666666666667,0.6693032015065913,0.267440130893946
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,IBK,OVERSAMPLING,NO,SENSITIVE THRESHOLD,145,91,79,304,0.614406779661017,0.32293986636971045,0.39382287436132585,-0.15285236718893658
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE LEARNING,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE LEARNING,10,11,425,19,0.47619047619047616,0.3448275862068966,0.7702863018032269,0.3668300653594763
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE LEARNING,8,6,525,52,0.5714285714285714,0.13333333333333333,0.8832391713747646,0.18490512198601786
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE LEARNING,13,9,161,436,0.5909090909090909,0.028953229398663696,0.4954277479365911,-0.013473489015537557
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE LEARNING,1,1,197,104,0.5,0.009523809523809525,0.3154160654160654,0.005812318365051087
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE LEARNING,6,239,197,23,0.024489795918367346,0.20689655172413793,0.26506643467257196,-0.07623674911660773
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE LEARNING,6,3,528,54,0.6666666666666666,0.1,0.7408035153797866,0.15143958286102938
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE LEARNING,94,25,145,355,0.7899159663865546,0.20935412026726058,0.33141621904886676,0.03885915090099294
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,OVERSAMPLING,NO,SENSITIVE LEARNING,0,0,198,105,NaN,0.0,0.4263107263107263,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,OVERSAMPLING,NO,SENSITIVE LEARNING,1,7,429,28,0.125,0.034482758620689655,0.5219867130654856,0.027835852099635267
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,IBK,OVERSAMPLING,NO,SENSITIVE LEARNING,2,3,528,58,0.4,0.03333333333333333,0.6299748901443817,0.04664815549385144
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,IBK,OVERSAMPLING,NO,SENSITIVE LEARNING,5,3,167,444,0.625,0.011135857461024499,0.49217214725533864,-0.003605381230980191
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,SMOTE,NO,NO,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,SMOTE,NO,NO,20,24,412,9,0.45454545454545453,0.6896551724137931,0.9019297690604239,0.5111967636097221
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,SMOTE,NO,NO,22,16,515,38,0.5789473684210527,0.36666666666666664,0.9326741996233522,0.40188912627909545
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,SMOTE,NO,NO,56,4,166,393,0.9333333333333333,0.12472160356347439,0.4240665531245906,0.059144457504278505
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,SMOTE,NO,NO,0,0,198,105,NaN,0.0,0.49723424723424725,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,SMOTE,NO,NO,4,9,427,25,0.3076923076923077,0.13793103448275862,0.4494226510597912,0.15796761823604552
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,SMOTE,NO,NO,1,0,531,59,1.0,0.016666666666666666,0.8171374764595104,0.029556650246305226
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,SMOTE,NO,NO,180,87,83,269,0.6741573033707865,0.40089086859688194,0.4312328049259793,-0.0831997955150956
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,SMOTE,NO,NO,0,0,198,105,NaN,0.0,0.5027657527657527,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,SMOTE,NO,NO,18,90,346,11,0.16666666666666666,0.6206896551724138,0.7003321733628598,0.18237844048676055
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,IBK,SMOTE,NO,NO,15,27,504,45,0.35714285714285715,0.25,0.6080508474576272,0.2297165200391006
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,IBK,SMOTE,NO,NO,77,22,148,372,0.7777777777777778,0.1714922048997773,0.5210402200969475,0.025664176421237684
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,RANDOM FOREST,SMOTE,NO,SENSITIVE THRESHOLD,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,RANDOM FOREST,SMOTE,NO,SENSITIVE THRESHOLD,5,0,436,24,1.0,0.1724137931034483,0.5862068965517241,0.28092783505154556
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,RANDOM FOREST,SMOTE,NO,SENSITIVE THRESHOLD,5,0,531,55,1.0,0.08333333333333333,0.5416666666666666,0.14042046806822694
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,RANDOM FOREST,SMOTE,NO,SENSITIVE THRESHOLD,9,0,170,440,1.0,0.0200445434298441,0.5100222717149221,0.011110304262580783
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,NAIVE BAYES,SMOTE,NO,SENSITIVE THRESHOLD,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,NAIVE BAYES,SMOTE,NO,SENSITIVE THRESHOLD,1,2,434,28,0.3333333333333333,0.034482758620689655,0.5149478013286934,0.0514075887392889
BOOKKEEPER,3,0.6439759036144578,0.1253507951356408,0.10152284263959391,NAIVE BAYES,SMOTE,NO,SENSITIVE THRESHOLD,1,0,531,59,1.0,0.016666666666666666,0.5083333333333333,0.029556650246305226
BOOKKEEPER,4,0.7283896445809566,0.11686746987951807,0.7253634894991923,NAIVE BAYES,SMOTE,NO,SENSITIVE THRESHOLD,100,18,152,349,0.847457627118644,0.22271714922049,0.5584173981396567,0.07279732581252117
BOOKKEEPER,1,0.49834437086092714,0.0,0.3465346534653465,IBK,SMOTE,NO,SENSITIVE THRESHOLD,0,0,198,105,NaN,0.0,0.5,0.0
BOOKKEEPER,2,0.5650140318054256,0.173841059602649,0.06236559139784946,IBK,SMOTE,NO,SENSITIVE THRESHOLD,18,90,346,11,0.16666666666666666,0.6206896551724138,0.7071338184118949,0.18237844048676055
